"Sex","Wr.Hnd","NW.Hnd","W.Hnd","Fold","Pulse","Clap","Exer","Smoke","Height","M.I","Age"
"Male",21,19.5,"Right","L on R",80,"Left","None",NA,NA,NA,18.333
"Female",18,17.5,"Right","L on R",64,"Left","Freq","Never",170,"Metric",17.583
"Male",19.4,19.5,"Right","R on L",NA,"Right","Freq","Heavy",176,"Metric",17.833
"Female",17,16.6,"Right","R on L",68,"Right","Some","Never",171,"Metric",17.667
"Female",16.5,17,"Right","L on R",40,"Left","Freq","Never",167.64,"Imperial",17.417
"Female",15.6,15.8,"Right","R on L",88,"Left","Some","Never",165,"Metric",17.75
"Female",17.5,17.5,"Right","Neither",68,"Right","Freq","Heavy",170,"Metric",20.667
"Female",17,17.6,"Right","L on R",76,"Right","Some","Never",165,"Metric",23.583
"Female",18.6,18,"Right","L on R",NA,"Neither","Freq","Heavy",165.1,"Imperial",17.167
"Female",18.3,18.5,"Right","R on L",68,"Neither","Some","Never",165.1,"Imperial",17.083
"Male",20,20.5,"Right","L on R",NA,"Right","Freq","Never",185.42,"Imperial",18.75
"Male",19.5,19.5,"Left","R on L",66,"Left","Some","Never",NA,NA,16.75
"Male",19.2,18.9,"Right","R on L",76,"Right","Freq","Never",176.5,"Imperial",20.167
"Female",17.5,17.5,"Right","R on L",98,"Left","Freq","Never",NA,NA,17.667
"Female",17,17.4,"Right","R on L",NA,"Neither","Some","Never",NA,NA,17.167
"Male",23,23.5,"Right","L on R",90,"Right","Freq","Never",167.64,"Imperial",17.167
"Female",17.7,17,"Right","R on L",76,"Right","Some","Never",167,"Metric",17.25
"Female",18.2,18,"Right","L on R",70,"Right","Some","Never",162.56,"Imperial",18
"Female",18.3,18.5,"Right","R on L",75,"Left","Freq","Never",170,"Metric",18.75
"Male",18,18,"Right","Neither",60,"Right","Freq","Never",179,"Metric",21.583
"Female",18,17.7,"Left","R on L",92,"Left","Some","Never",NA,NA,17.583
"Male",20.5,20,"Right","R on L",75,"Left","Some","Never",183,"Metric",19.667
"Female",17.5,18,"Right","Neither",NA,"Right","Some","Never",NA,NA,18
"Female",18.2,17.5,"Right","L on R",70,"Right","Some","Never",165,"Metric",19.667
"Female",18.2,18.5,"Right","R on L",NA,"Right","Some","Never",168,"Metric",17.083
"Male",21.3,20.8,"Right","R on L",65,"Right","Freq","Heavy",179,"Metric",22.833
"Female",19,18.8,"Right","L on R",NA,"Right","Some","Never",NA,NA,17.083
"Male",20,19.5,"Right","R on L",68,"Neither","Freq","Regul",190,"Metric",19.417
"Female",17.5,17.5,"Right","R on L",60,"Right","Freq","Never",166.5,"Metric",23.25
"Male",19.5,19.4,"Right","Neither",NA,"Right","Freq","Never",165,"Metric",18.083
"Female",19.4,19.6,"Right","R on L",68,"Neither","Freq","Never",175.26,"Imperial",19.083
"Male",21.9,22.2,"Right","R on L",NA,"Right","Some","Never",187,"Metric",18.917
"Male",18.9,19.1,"Right","L on R",60,"Neither","None","Never",170,"Metric",17.75
"Female",16,16,"Right","Neither",NA,"Right","Some","Never",159,"Metric",20.833
"Female",17.5,17.3,"Right","R on L",72,"Right","Freq","Never",175,"Metric",20.167
"Female",17.5,17,"Right","R on L",80,"Left","Some","Heavy",163,"Metric",17.667
"Female",19.5,18.5,"Right","R on L",80,"Right","Some","Never",170,"Metric",18.25
"Female",16.2,16.4,"Right","R on L",NA,"Right","Freq","Occas",172,"Metric",17
"Female",17,15.9,"Right","R on L",85,"Right","Freq","Never",NA,NA,18.5
"Male",17.5,17.5,"Right","L on R",64,"Neither","Freq","Never",180,"Metric",18.583
"Male",19.7,20.1,"Right","R on L",67,"Left","Some","Regul",180.34,"Imperial",17.75
"Female",18.5,18.5,"Right","R on L",76,"Left","Freq","Never",175,"Metric",24.167
"Male",19.2,19.6,"Right","L on R",80,"Right","None","Never",190.5,"Imperial",18.167
"Female",17.2,16.7,"Right","R on L",75,"Right","Freq","Never",170.18,"Imperial",21.167
"Male",20.5,21,"Right","R on L",60,"Right","Freq","Never",185,"Metric",17.917
"Female",16,15.5,"Right","L on R",60,"Left","Freq","Never",162.56,"Imperial",17.417
"Female",16.9,16,"Right","L on R",70,"Right","None","Never",158,"Metric",20.5
"Female",17,16.7,"Right","R on L",70,"Right","Some","Never",159,"Metric",22.917
"Male",23,22,"Left","L on R",83,"Left","Some","Heavy",193.04,"Imperial",18.917
"Female",18.5,18,"Left","L on R",100,"Neither","Some","Never",171,"Metric",18.917
"Male",21,20.4,"Right","L on R",100,"Right","Freq","Heavy",184,"Metric",20.083
"Male",20,20,"Right","R on L",80,"Neither","Freq","Occas",NA,NA,17.5
"Male",22.5,22.5,"Right","L on R",76,"Right","Freq","Occas",177,"Metric",18.25
"Female",18.5,18,"Right","R on L",92,"Right","Freq","Never",172,"Metric",17.5
"Male",19.8,20,"Left","L on R",59,"Right","Freq","Never",180,"Metric",17.417
"Male",18.5,18.1,"Right","L on R",66,"Left","Freq","Never",175.26,"Imperial",21
"Male",19.3,19.4,"Right","R on L",NA,"Right","Freq","Never",180.34,"Imperial",19.833
"Female",16,16,"Right","R on L",68,"Right","Freq","Never",172.72,"Imperial",17.667
"Male",18.8,19.1,"Right","L on R",66,"Neither","Freq","Regul",178.5,"Metric",18.083
"Female",17.5,17,"Right","R on L",74,"Right","Freq","Never",157,"Metric",18
"Female",16.4,16.5,"Right","L on R",90,"Right","Some","Never",152,"Metric",18.333
"Male",22,21.5,"Right","R on L",86,"Right","Freq","Never",187.96,"Imperial",20
"Male",19,19.5,"Right","L on R",60,"Right","Some","Never",178,"Metric",18.75
"Female",18.9,20,"Right","R on L",86,"Right","Some","Never",NA,NA,19.083
"Female",15.4,16.4,"Left","L on R",80,"Left","Freq","Occas",160.02,"Imperial",18.5
"Male",17.9,17.8,"Right","R on L",85,"Left","Some","Never",175.26,"Imperial",18.417
"Male",23.1,22.5,"Right","L on R",90,"Right","Some","Regul",189,"Metric",19.167
NA,19.8,19,"Left","L on R",73,"Neither","Freq","Never",172,"Metric",21.5
"Male",22,22,"Right","L on R",72,"Right","Freq","Never",182.88,"Imperial",19.333
"Male",20,19.5,"Right","L on R",NA,"Right","Freq","Never",170,"Metric",21.417
"Female",19.5,18.5,"Right","L on R",68,"Right","None","Never",167,"Metric",18.667
"Female",18,18.6,"Right","R on L",84,"Right","Some","Never",175,"Metric",17.5
"Female",18.3,19,"Right","R on L",NA,"Right","None","Never",165,"Metric",21.083
"Female",19,18.8,"Right","R on L",65,"Right","Freq","Never",172.72,"Imperial",17.25
"Male",21.4,21,"Right","L on R",96,"Neither","Some","Never",180,"Metric",19
"Female",20,19.5,"Left","R on L",68,"Neither","Freq","Never",172,"Metric",19.167
"Male",18.5,18.5,"Right","R on L",75,"Neither","Some","Never",185,"Metric",19
"Male",22.5,22.6,"Right","L on R",64,"Right","Freq","Regul",187.96,"Imperial",23
"Male",19.5,20.2,"Right","R on L",60,"Neither","Freq","Never",185.42,"Imperial",32.667
"Female",18,18,"Right","L on R",92,"Neither","Freq","Never",165,"Metric",20
"Female",18,18.5,"Right","R on L",64,"Neither","Freq","Never",164,"Metric",20.167
"Male",21.8,22.3,"Right","R on L",76,"Left","Freq","Never",195,"Metric",25.5
"Female",13,12.5,"Right","L on R",80,"Right","Freq","Never",165,"Metric",18.167
"Female",16.3,16.2,"Right","L on R",92,"Right","Some","Regul",152.4,"Imperial",23.5
"Male",21.5,21.6,"Right","R on L",69,"Right","Freq","Never",172.72,"Imperial",70.417
"Male",18.9,19.1,"Right","L on R",68,"Right","None","Never",180.34,"Imperial",43.833
"Male",20.5,20,"Right","R on L",76,"Right","Freq","Never",173,"Metric",23.583
"Male",14,15.5,"Right","L on R",NA,"Neither","Freq","Heavy",NA,NA,21.083
"Female",18.9,19.2,"Right","L on R",74,"Right","Some","Never",167.64,"Imperial",44.25
"Male",20,20.5,"Right","R on L",NA,"Right","None","Never",187.96,"Imperial",19.667
"Male",18.5,19,"Right","L on R",84,"Right","Freq","Regul",187,"Metric",17.917
"Female",17.5,17.1,"Right","R on L",80,"Left","None","Never",167,"Metric",18.417
"Male",18.1,18.2,"Left","Neither",NA,"Right","Some","Never",168,"Metric",21.167
"Male",20.2,20.3,"Right","L on R",72,"Neither","Some","Never",191.8,"Imperial",17.5
"Female",16.5,16.9,"Right","R on L",60,"Neither","Freq","Occas",169.2,"Metric",29.083
"Male",19.1,19.1,"Right","Neither",NA,"Right","Some","Never",177,"Metric",19.917
"Female",17.6,17.2,"Right","R on L",81,"Left","Some","Never",168,"Metric",18.5
"Female",19.5,19.2,"Right","R on L",70,"Right","Some","Never",170,"Metric",18.167
"Female",16.5,15,"Right","L on R",65,"Right","Some","Regul",160.02,"Imperial",32.75
"Male",19,18.5,"Right","L on R",NA,"Neither","Freq","Never",189,"Metric",17.417
"Male",19,18.5,"Right","R on L",72,"Right","Freq","Never",180.34,"Imperial",17.333
"Female",16.5,17,"Right","L on R",NA,"Right","Some","Never",168,"Metric",73
"Male",20.5,19.5,"Left","L on R",80,"Right","Some","Occas",182.88,"Imperial",18.667
"Female",15.5,15.5,"Right","Neither",50,"Right","Some","Regul",NA,NA,18.5
"Female",18,17.5,"Right","R on L",48,"Neither","Freq","Never",165,"Metric",18.667
"Female",17.5,18,"Right","R on L",68,"Neither","Freq","Never",157.48,"Imperial",17.75
"Female",19,18.5,"Left","L on R",104,"Left","Freq","Never",170,"Metric",17.25
"Male",20.5,20.5,"Right","Neither",76,"Right","Freq","Regul",172.72,"Imperial",36.583
"Female",16.7,17,"Right","L on R",84,"Left","Freq","Never",164,"Metric",23.083
"Female",20.5,20.5,"Right","R on L",NA,"Left","Freq","Regul",NA,NA,19.25
"Female",17,16.5,"Right","R on L",70,"Right","Some","Never",162.56,"Imperial",17.167
"Male",19,19.5,"Right","R on L",68,"Right","Freq","Occas",172,"Metric",23.417
"Female",14,13.5,"Right","R on L",87,"Neither","Freq","Occas",165.1,"Imperial",17.083
"Female",17.5,17.6,"Right","L on R",79,"Right","Some","Never",162.5,"Metric",17.25
"Male",18.5,19,"Right","L on R",70,"Left","Freq","Never",170,"Metric",23.833
"Male",18,18.5,"Right","Neither",90,"Right","Some","Never",175,"Metric",18.75
"Male",20.5,20.7,"Right","R on L",72,"Right","Some","Never",168,"Metric",21.167
"Female",17,17,"Right","L on R",79,"Right","Some","Never",163,"Metric",24.667
"Male",18.5,18.5,"Right","R on L",65,"Right","None","Never",165,"Metric",18.5
"Male",18,18.5,"Right","R on L",62,"Right","Freq","Never",173,"Metric",20.333
"Male",18.5,18,"Right","Neither",63,"Neither","Freq","Never",196,"Metric",20.083
"Male",20,19.5,"Right","R on L",92,"Right","Some","Never",179.1,"Imperial",18.917
"Male",22,22.5,"Right","L on R",60,"Right","Some","Never",180,"Metric",27.333
"Male",17.9,18.4,"Right","R on L",68,"Left","None","Occas",176,"Metric",18.917
"Female",17.6,17.8,"Right","L on R",72,"Left","Some","Never",160.02,"Imperial",17.25
"Female",16.7,15.1,"Right","Neither",NA,"Right","None","Never",157.48,"Imperial",18.167
"Female",17,17.6,"Right","L on R",76,"Right","Some","Never",165,"Metric",26.5
"Female",15,13,"Right","R on L",80,"Neither","Freq","Never",170.18,"Imperial",17
"Male",16,15.5,"Right","Neither",71,"Right","Freq","Never",154.94,"Imperial",17.167
"Female",19.1,19,"Right","R on L",80,"Right","Some","Occas",170,"Metric",19.167
"Female",17.5,16.5,"Right","R on L",80,"Neither","Some","Never",164,"Metric",17.5
"Female",16.2,15.8,"Right","R on L",61,"Right","Some","Occas",167,"Metric",19.25
"Male",21,21,"Right","L on R",48,"Neither","Freq","Never",174,"Metric",21.333
"Female",18.8,17.8,"Right","R on L",76,"Right","Some","Never",NA,NA,18.583
"Female",18.5,18,"Right","Neither",86,"Right","None","Never",160,"Metric",20.167
"Male",17,17.5,"Right","R on L",80,"Right","Some","Regul",179.1,"Metric",18.667
"Female",17.5,17,"Right","R on L",83,"Neither","Freq","Occas",168,"Metric",17.083
"Female",17.5,17.6,"Right","L on R",76,"Right","Some","Never",153.5,"Metric",17.417
"Male",17.5,17.6,"Right","R on L",84,"Right","Some","Never",160,"Metric",18.583
"Male",17.5,17,"Left","L on R",97,"Neither","None","Never",165,"Metric",19.5
"Female",20.8,20.7,"Right","R on L",NA,"Neither","Freq","Never",171.5,"Metric",18.5
"Female",18.6,18.6,"Right","L on R",74,"Right","Some","Never",160,"Metric",17.167
"Female",17.5,17.5,"Left","R on L",83,"Neither","Some","Never",163,"Metric",17.25
"Male",18,18.5,"Right","R on L",78,"Right","Freq","Never",NA,NA,17.5
"Male",17,17.5,"Right","R on L",65,"Right","Some","Never",165,"Metric",20.417
"Female",18,17.8,"Right","L on R",68,"Right","Some","Never",168.9,"Imperial",17.083
"Male",19.5,20,"Right","Neither",NA,"Right","Some","Never",170,"Metric",21.25
"Female",16.3,16.2,"Right","L on R",NA,"Right","None","Never",NA,NA,19.25
"Male",18.2,19.8,"Right","R on L",88,"Right","Freq","Never",185,"Metric",19.333
"Female",17,17.3,"Right","L on R",NA,"Neither","Freq","Never",173,"Metric",19.167
"Male",23.2,23.2,"Right","L on R",75,"Right","Freq","Never",188,"Metric",18.917
"Male",23.2,23.3,"Right","L on R",NA,"Right","None","Heavy",171,"Metric",20.917
"Female",15.9,16.5,"Right","R on L",70,"Right","Freq","Never",167.64,"Imperial",17.333
"Female",17.5,18.4,"Right","R on L",88,"Right","Some","Never",162.56,"Imperial",18.167
"Female",17.5,17.6,"Right","L on R",NA,"Right","Freq","Never",150,"Metric",20.75
"Female",17.6,17.2,"Right","L on R",NA,"Right","Some","Never",NA,NA,19.917
"Female",17.5,17.8,"Right","R on L",96,"Right","Some","Never",NA,NA,18.667
"Female",18.8,18.3,"Right","R on L",80,"Right","Some","Heavy",170.18,"Imperial",18.417
"Male",20,19.8,"Right","L on R",68,"Right","Freq","Never",185,"Metric",17.417
"Female",18.6,18.8,"Right","L on R",70,"Right","Freq","Regul",167,"Metric",20.333
"Male",18.6,19.6,"Right","L on R",71,"Right","Freq","Occas",185,"Metric",19.333
"Female",18.8,18.5,"Right","R on L",80,"Right","Some","Never",169,"Metric",18.167
"Male",18,16,"Right","R on L",NA,"Right","Some","Never",180.34,"Imperial",20.75
"Female",18,18,"Right","L on R",85,"Right","Some","Never",165.1,"Imperial",17.667
"Female",18.5,18,"Right","L on R",88,"Right","Some","Never",160,"Metric",16.917
"Female",17.5,16.5,"Right","R on L",NA,"Right","Some","Never",170,"Metric",18.583
"Male",21,21.5,"Right","R on L",90,"Right","Some","Never",183,"Metric",17.167
"Female",17.6,17.3,"Right","R on L",85,"Right","Freq","Never",168.5,"Metric",17.75
